0,41,3.19
1,29,3.5801
2,26,2.9595
3,34,3.8344
4,33,2.2919
5,46,3.0093
6,237.8,5.5546
7,31,2.1028
8,24.02,1.2451
9,26,1.6935
10,31.01,2.5065
11,22,2.3423
12,24,2.7042
13,24.02,2.1605
14,31.2,2.2948
15,33.21,2.0972
16,26.4,2.6815
17,28.8,2.5325
18,56.2,2.4673
19,43.07,4.683
20,44.18,3.8307
21,38.6,2.6191
22,24,3.4468
23,41,4.2108
24,30.4,4.1797
25,72.85,5.7258
26,29,4.0497
27,36.13,5.412
28,34,5.6433
29,31.64,5.0438
30,72.63,6.1785
31,45.1,5.3122
32,48.95,8.897
33,48.6,4.5417
34,71.06,6.8998
35,60.85,5.9697
36,75.92,8.4978
37,178.79,10.3974
38,246.54,11.9384
39,63.33,9.3621
40,102.66,10.5895
41,501.17,25.1745
42,159.76,23.1133
43,263.74,29.6925
44,503.28,59.0088
45,505.06,90.7388
46,506.42,117.3501
47,505.11,116.6586
48,504.96,117.0968
49,504.98,174.3086
50,505.7,176.4658
